input,A,B,C,D,target,task
U.S. dollars and the European Union's (EU's) euro are exchanged in global currency markets. Which of the following is true?,If inflation is high in the EU and the price level in the United States is stable the value of the dollar appreciates.,If the Fed decreases the money supply the value of the dollar depreciates.,If EU consumers are less inclined to purchase American goods the dollar appreciates.,If U.S. income levels are rising relative to incomes in the EU the euro depreciates.,A,high_school_macroeconomics
If the cost of the basket of goods and services the Bureau of Labor Statistics uses to calculate the consumer price index rises from $200 in the base period to $400 in the current period then the consumer price index,equals 0.5 in the current period.,has risen 5 percent from the base to the current period.,equals 50 in the current period.,equals 200 in the current period.,D,high_school_macroeconomics
Suppose that households increase the demand for U.S. Treasury bonds as financial assets. Which of the following accurately describes changes in the money market the interest rate and the value of the dollar in foreign currency markets? MONEY MARKET     INTEREST RATE     DOLLAR,Increased supply     Rising     Appreciates,Increased demand     Rising     Appreciates,Decreased demand     Falling     Appreciates,Decreased demand     Falling     Depreciates,D,high_school_macroeconomics
You buy 100 shares in XYZ Corporation on the Internet and your broker charges you $29.95.,This will increase the investment component of GDP and therefore overall GDP.,This has no effect on GDP.,This will increase GDP by $29.95.,This will increase GDP by the cost of the shares minus $29.95.,C,high_school_macroeconomics
Which of the following is a predictable advantage of expansionary monetary policy in a recession?,Decreases aggregate demand so that the price level falls.,Increases aggregate demand which increases real GDP and increases employment.,Increases unemployment but low prices negate this effect.,It keeps interest rates high which attracts foreign investment.,B,high_school_macroeconomics
If the economy is experiencing a recession how will a plan to decrease taxes for consumers and increase spending on government purchases affect real gross domestic product (GDP) and the price level?,real GDP rises and the price level falls.,real GDP falls and the price level rises.,real GDP rises and the price level rises.,real GDP falls and the price level falls.,C,high_school_macroeconomics
Which of the following is NOT a major cost of inflation?,Resources will be misallocated.,Wealth will be redistributed.,Savings will be discouraged.,Real incomes will fall.,D,high_school_macroeconomics
According to monetarist analysis a decrease in the money supply would,raise the price level and output in the economy.,lower the price level and output in the economy.,raise the price level in the economy.,lower the price level in the economy.,B,high_school_macroeconomics
If households are more optimistic about the future how would the consumption function be affected?,The marginal propensity to consume would increase increasing the slope of the consumption function.,The entire consumption function would shift downward.,The entire consumption function would shift upward.,The marginal propensity to consume would decrease increasing the slope of the consumption function.,C,high_school_macroeconomics
A balance of trade surplus can be the result of,a loose monetary policy.,foreigners having no taste for this country's products.,an appreciation of the country's currency.,low levels of income relative to other nations.,D,high_school_macroeconomics
If the consumer price index (CPI) increases by 2 percent and your nominal income increases by 8 percent your real income has approximately,increased by 4 percent.,decreased by 4 percent.,increased by 6 percent.,decreased by 6 percent.,C,high_school_macroeconomics
On a bank's balance sheet which of the following is considered a liability?,Required reserves,Excess reserves,Loans,Deposits,D,high_school_macroeconomics
